A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,Move
4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Left
4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,Right
0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,4,Right
0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,8,Down
0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,8,Right
0,0,0,0,0,4,0,4,0,0,0,8,0,0,4,8,Right
0,0,0,0,0,0,4,8,0,0,0,8,0,0,4,8,Up
0,0,8,16,0,4,0,8,0,0,0,0,0,0,0,0,Down
0,0,0,0,0,0,0,0,0,0,0,16,4,4,8,8,Up
4,4,8,16,0,0,0,8,0,0,0,4,0,0,0,0,Right
0,8,8,16,0,0,0,8,0,0,4,4,0,0,0,0,Down
0,0,0,0,4,0,0,16,0,0,8,8,0,8,4,4,Up
4,8,8,16,0,0,4,8,0,0,0,4,4,0,0,0,Down
0,0,0,0,0,0,0,16,0,4,8,8,8,8,4,4,Up
8,4,8,16,0,8,4,8,0,0,0,4,0,0,0,4,Up
8,4,8,16,0,8,4,8,4,0,0,8,0,0,0,0,Up
8,4,8,16,4,8,4,16,0,0,0,0,0,4,0,0,Up
8,4,8,32,4,8,4,0,0,4,0,4,0,0,0,0,Down
0,0,0,4,0,4,0,0,8,8,8,32,4,4,4,4,Right
4,0,0,4,0,0,0,4,0,8,16,32,0,0,8,8,Left
8,0,4,0,4,0,0,0,8,16,32,0,16,0,0,0,Down
8,0,0,4,4,0,0,0,8,0,4,0,16,16,32,0,Left
8,4,0,0,4,0,0,0,8,4,0,0,32,32,0,4,Down
8,0,4,0,4,0,0,0,8,8,0,0,32,32,0,4,Right
0,0,8,4,0,4,0,4,0,0,0,16,0,0,64,4,Down
0,0,0,0,4,0,0,8,0,0,8,16,0,4,64,4,Left
0,0,0,4,4,8,0,0,8,16,0,0,4,64,4,0,Up
4,8,4,4,8,16,0,0,4,64,0,0,0,0,4,0,Up
4,8,8,4,8,16,4,0,4,64,0,0,0,0,0,0,Right
0,4,16,4,0,8,16,4,4,0,4,64,0,0,0,0,Left
4,16,4,0,8,16,4,0,8,64,0,4,0,0,0,0,Right
0,4,16,4,0,8,16,4,0,8,64,4,4,0,0,0,Left
4,16,4,0,8,16,4,0,8,64,4,0,4,0,4,0,Left
4,16,4,4,8,16,4,0,8,64,4,0,8,0,0,0,Down
4,0,0,0,4,0,0,0,8,32,4,0,16,64,8,4,Right
0,4,0,4,0,0,0,4,0,8,32,4,16,64,8,4,Right
0,0,0,8,4,0,0,4,0,8,32,4,16,64,8,4,Right
0,0,0,8,0,0,4,8,0,8,32,4,16,64,8,4,Down
0,0,4,0,0,0,4,0,0,8,32,16,16,64,8,8,Up
16,8,8,16,0,64,32,8,0,0,8,0,0,0,4,0,Down
0,0,8,0,0,4,32,0,0,8,8,16,16,64,4,8,Left
8,0,0,4,4,32,0,0,16,16,0,0,16,64,4,8,Down
0,0,4,0,8,32,0,0,4,16,0,4,32,64,4,8,Left
4,4,0,0,8,32,0,0,4,16,4,0,32,64,4,8,Right
4,0,0,8,0,0,8,32,0,4,16,4,32,64,4,8,Up
4,4,8,8,32,64,16,32,0,0,4,4,4,0,0,8,Left
8,16,0,0,32,64,16,32,8,0,0,0,4,8,4,0,Right
0,0,8,16,32,64,16,32,0,0,0,8,4,4,8,4,Left
8,16,0,0,32,64,16,32,8,4,0,0,8,8,4,0,Up
8,16,16,32,32,64,4,0,16,4,0,0,4,8,0,0,Left
8,32,32,4,32,64,4,0,16,4,0,0,4,8,0,0,Left
8,64,4,0,32,64,4,0,16,4,4,0,4,8,0,0,Left
8,64,4,0,32,64,4,4,16,8,0,0,4,8,0,0,Left
8,64,4,0,32,64,8,4,16,8,0,0,4,8,0,0,Right
0,8,64,4,32,64,8,4,4,0,16,8,0,0,4,8,Left
8,64,4,0,32,64,8,4,4,16,8,4,4,8,0,0,Up
8,128,4,8,32,16,16,0,8,8,0,0,0,0,4,0,Down
0,0,0,0,8,128,4,4,32,16,16,0,8,8,4,8,Down
0,0,0,0,8,128,4,4,32,16,16,4,8,8,4,8,Right
0,4,0,0,0,8,128,8,0,32,32,4,0,16,4,8,Right
